student_id,intake,module_code,semester,attempt_no,grade,grade_point,credit_hours
TP087002,Mar 2025,CYB102-1-1-DF,Y1S1,1,F,1.0,4
TP087002,Mar 2025,CYB103-1-1-CE,Y1S1,1,C-,2.0,3
TP087002,Mar 2025,CYB104-1-1-SC,Y1S1,1,D,1.7,3
TP088001,Nov 2025,IT101-1-1-WD,Y1S1,1,A,3.7,4
TP088001,Nov 2025,IT102-1-1-DB,Y1S1,1,A+,4.0,4
TP088001,Nov 2025,IT103-1-1-SAD,Y1S1,1,B+,3.3,3
TP088001,Nov 2025,IT104-1-1-CLD,Y1S1,1,A,3.7,3
TP088002,Sep 2025,IT101-1-1-WD,Y1S1,1,C,2.3,4
TP088002,Sep 2025,IT102-1-1-DB,Y1S1,1,C-,2.0,4
TP088002,Sep 2025,IT103-1-1-SAD,Y1S1,1,C+,2.7,3
TP088002,Sep 2025,IT104-1-1-CLD,Y1S1,1,C-,2.0,3
TP089001,Sep 2025,DA101-1-1-PY,Y1S1,1,B+,3.3,4
TP089001,Sep 2025,DA102-1-1-DAW,Y1S1,1,B,3.0,4
TP089001,Sep 2025,DA103-1-1-VIZ,Y1S1,1,B,3.0,3
TP089001,Sep 2025,DA104-1-1-STAT,Y1S1,1,B,3.0,3
TP089002,Mar 2025,DA101-1-1-PY,Y1S1,1,C-,2.0,4
TP089002,Mar 2025,DA102-1-1-DAW,Y1S1,1,C-,2.0,4
TP089002,Mar 2025,DA103-1-1-VIZ,Y1S1,1,C-,2.0,3
TP089002,Mar 2025,DA104-1-1-STAT,Y1S1,1,C-,2.0,3
